timestamp,src_ip,dst_ip,src_port,dst_port,tcp_flags,packet_count,label
2026-01-13T15:02:34.938498+00:00,10.232.71.48,10.232.71.26,22,52492,0x0018,87,SSH_BRUTE_FORCE
2026-01-13T15:02:34.938721+00:00,10.232.71.26,10.232.71.48,52492,22,0x0018,105,SSH_BRUTE_FORCE
2026-01-13T15:02:34.938907+00:00,10.232.71.26,10.232.71.48,52436,22,0x0018,106,SSH_BRUTE_FORCE
2026-01-13T15:02:34.939090+00:00,10.232.71.48,10.232.71.26,22,52420,0x0018,88,SSH_BRUTE_FORCE
2026-01-13T15:02:34.939238+00:00,10.232.71.26,10.232.71.48,52472,22,0x0018,107,SSH_BRUTE_FORCE
2026-01-13T15:02:35.417352+00:00,10.232.71.26,10.232.71.48,52420,22,0x0018,108,SSH_BRUTE_FORCE
2026-01-13T15:02:35.417509+00:00,10.232.71.48,10.232.71.26,22,52490,0x0018,89,SSH_BRUTE_FORCE
2026-01-13T15:02:35.417613+00:00,10.232.71.48,10.232.71.26,22,52478,0x0018,90,SSH_BRUTE_FORCE
2026-01-13T15:02:35.417725+00:00,10.232.71.26,10.232.71.48,52490,22,0x0010,109,SSH_BRUTE_FORCE
2026-01-13T15:02:35.417821+00:00,10.232.71.26,10.232.71.48,52478,22,0x0018,110,SSH_BRUTE_FORCE
2026-01-13T15:02:35.417914+00:00,10.232.71.48,10.232.71.26,22,52490,0x0018,91,SSH_BRUTE_FORCE
2026-01-13T15:02:35.418006+00:00,10.232.71.48,10.232.71.26,22,52350,0x0010,92,SSH_BRUTE_FORCE
2026-01-13T15:02:35.418097+00:00,10.232.71.48,10.232.71.26,22,52384,0x0010,93,SSH_BRUTE_FORCE
2026-01-13T15:02:35.418207+00:00,10.232.71.48,10.232.71.26,22,52392,0x0010,94,SSH_BRUTE_FORCE
2026-01-13T15:02:35.418294+00:00,10.232.71.26,10.232.71.48,52490,22,0x0018,111,SSH_BRUTE_FORCE
2026-01-13T15:02:35.418381+00:00,10.232.71.48,10.232.71.26,22,52490,0x0010,95,SSH_BRUTE_FORCE
2026-01-13T15:02:35.418468+00:00,10.232.71.48,10.232.71.26,22,52466,0x0018,96,SSH_BRUTE_FORCE
2026-01-13T15:02:35.418552+00:00,10.232.71.48,10.232.71.26,22,52446,0x0018,97,SSH_BRUTE_FORCE
2026-01-13T15:02:35.418636+00:00,10.232.71.26,10.232.71.48,52350,22,0x0018,112,SSH_BRUTE_FORCE
2026-01-13T15:02:35.418725+00:00,10.232.71.48,10.232.71.26,22,52350,0x0010,98,SSH_BRUTE_FORCE
2026-01-13T15:02:35.418810+00:00,10.232.71.26,10.232.71.48,52384,22,0x0018,113,SSH_BRUTE_FORCE
2026-01-13T15:02:35.418893+00:00,10.232.71.48,10.232.71.26,22,52384,0x0010,99,SSH_BRUTE_FORCE
2026-01-13T15:02:35.418980+00:00,10.232.71.26,10.232.71.48,52392,22,0x0018,114,SSH_BRUTE_FORCE
2026-01-13T15:02:35.419060+00:00,10.232.71.48,10.232.71.26,22,52392,0x0010,100,SSH_BRUTE_FORCE
2026-01-13T15:02:35.419161+00:00,10.232.71.48,10.232.71.26,22,52452,0x0018,101,SSH_BRUTE_FORCE
2026-01-13T15:02:35.419247+00:00,10.232.71.26,10.232.71.48,52490,22,0x0018,115,SSH_BRUTE_FORCE
2026-01-13T15:02:35.419331+00:00,10.232.71.48,10.232.71.26,22,52490,0x0010,102,SSH_BRUTE_FORCE
2026-01-13T15:02:35.419412+00:00,10.232.71.26,10.232.71.48,52466,22,0x0018,116,SSH_BRUTE_FORCE
2026-01-13T15:02:35.419488+00:00,10.232.71.26,10.232.71.48,52446,22,0x0018,117,SSH_BRUTE_FORCE
2026-01-13T15:02:35.419591+00:00,10.232.71.26,10.232.71.48,52452,22,0x0018,118,SSH_BRUTE_FORCE
2026-01-13T15:02:35.419672+00:00,10.232.71.48,10.232.71.26,22,52472,0x0018,103,SSH_BRUTE_FORCE
2026-01-13T15:02:35.419760+00:00,10.232.71.48,10.232.71.26,22,52404,0x0010,104,SSH_BRUTE_FORCE
2026-01-13T15:02:35.419843+00:00,10.232.71.48,10.232.71.26,22,52492,0x0018,105,SSH_BRUTE_FORCE
2026-01-13T15:02:35.419925+00:00,10.232.71.48,10.232.71.26,22,52392,0x0018,106,SSH_BRUTE_FORCE
