timestamp,src_ip,dst_ip,ip_len,ttl,src_port,dst_port,tcp_seq,packet_count,label
2026-01-13T18:11:34.931935+00:00,10.232.71.26,10.232.71.48,40,64,1962,80,0,161,NORMAL
2026-01-13T18:11:34.931984+00:00,10.232.71.26,10.232.71.48,40,64,1963,80,0,162,NORMAL
2026-01-13T18:11:34.932034+00:00,10.232.71.26,10.232.71.48,40,64,1964,80,0,163,NORMAL
2026-01-13T18:11:34.932082+00:00,10.232.71.26,10.232.71.48,40,64,1965,80,0,164,NORMAL
2026-01-13T18:11:34.932142+00:00,10.232.71.26,10.232.71.48,40,64,1966,80,0,165,NORMAL
2026-01-13T18:11:34.932196+00:00,10.232.71.26,10.232.71.48,40,64,1967,80,0,166,NORMAL
2026-01-13T18:11:34.932245+00:00,10.232.71.26,10.232.71.48,40,64,1968,80,0,167,NORMAL
2026-01-13T18:11:34.932294+00:00,10.232.71.26,10.232.71.48,40,64,1969,80,0,168,NORMAL
2026-01-13T18:11:34.932343+00:00,10.232.71.26,10.232.71.48,40,64,1970,80,0,169,NORMAL
2026-01-13T18:11:34.932392+00:00,10.232.71.26,10.232.71.48,40,64,1971,80,0,170,NORMAL
2026-01-13T18:11:34.932441+00:00,10.232.71.26,10.232.71.48,40,64,1972,80,0,171,NORMAL
2026-01-13T18:11:34.934029+00:00,10.232.71.26,10.232.71.48,40,64,1973,80,0,172,NORMAL
2026-01-13T18:11:34.934613+00:00,10.232.71.26,10.232.71.48,40,64,1974,80,0,173,NORMAL
2026-01-13T18:11:34.935272+00:00,10.232.71.26,10.232.71.48,40,64,1975,80,0,174,NORMAL
2026-01-13T18:11:34.935927+00:00,10.232.71.26,10.232.71.48,40,64,1976,80,0,175,NORMAL
2026-01-13T18:11:34.936949+00:00,10.232.71.26,10.232.71.48,40,64,1977,80,0,176,NORMAL
2026-01-13T18:11:34.937070+00:00,10.232.71.26,10.232.71.48,40,64,1978,80,0,177,NORMAL
2026-01-13T18:11:34.937143+00:00,10.232.71.26,10.232.71.48,40,64,1979,80,0,178,NORMAL
2026-01-13T18:11:34.937202+00:00,10.232.71.26,10.232.71.48,40,64,1980,80,0,179,NORMAL
2026-01-13T18:11:34.937256+00:00,10.232.71.26,10.232.71.48,40,64,1981,80,0,180,NORMAL
2026-01-13T18:11:34.937307+00:00,10.232.71.26,10.232.71.48,40,64,1982,80,0,181,NORMAL
2026-01-13T18:11:34.937358+00:00,10.232.71.26,10.232.71.48,40,64,1983,80,0,182,NORMAL
2026-01-13T18:11:34.937409+00:00,10.232.71.26,10.232.71.48,40,64,1984,80,0,183,NORMAL
2026-01-13T18:11:34.937459+00:00,10.232.71.26,10.232.71.48,40,64,1985,80,0,184,NORMAL
2026-01-13T18:11:34.937509+00:00,10.232.71.26,10.232.71.48,40,64,1986,80,0,185,NORMAL
2026-01-13T18:11:34.937559+00:00,10.232.71.26,10.232.71.48,40,64,1987,80,0,186,NORMAL
2026-01-13T18:11:34.937609+00:00,10.232.71.26,10.232.71.48,40,64,1988,80,0,187,NORMAL
2026-01-13T18:11:34.937672+00:00,10.232.71.26,10.232.71.48,40,64,1989,80,0,188,NORMAL
2026-01-13T18:11:34.937722+00:00,10.232.71.26,10.232.71.48,40,64,1990,80,0,189,NORMAL
2026-01-13T18:11:34.937772+00:00,10.232.71.26,10.232.71.48,40,64,1991,80,0,190,NORMAL
2026-01-13T18:11:34.937823+00:00,10.232.71.26,10.232.71.48,40,64,1992,80,0,191,NORMAL
2026-01-13T18:11:34.937877+00:00,10.232.71.26,10.232.71.48,40,64,1993,80,0,192,NORMAL
2026-01-13T18:11:34.937932+00:00,10.232.71.26,10.232.71.48,40,64,1994,80,0,193,NORMAL
2026-01-13T18:11:34.937980+00:00,10.232.71.26,10.232.71.48,40,64,1995,80,0,194,NORMAL
2026-01-13T18:11:34.938030+00:00,10.232.71.26,10.232.71.48,40,64,1996,80,0,195,NORMAL
2026-01-13T18:11:34.938079+00:00,10.232.71.26,10.232.71.48,40,64,1997,80,0,196,NORMAL
2026-01-13T18:11:34.938138+00:00,10.232.71.26,10.232.71.48,40,64,1998,80,0,197,NORMAL
2026-01-13T18:11:34.938194+00:00,10.232.71.26,10.232.71.48,40,64,1999,80,0,198,NORMAL
2026-01-13T18:11:34.938243+00:00,10.232.71.26,10.232.71.48,40,64,2000,80,0,199,NORMAL
2026-01-13T18:11:34.938294+00:00,10.232.71.26,10.232.71.48,40,64,2001,80,0,200,NORMAL
2026-01-13T18:11:34.938348+00:00,10.232.71.26,10.232.71.48,40,64,2002,80,0,201,NORMAL
2026-01-13T18:11:35.419564+00:00,10.232.71.26,10.232.71.48,40,64,2003,80,0,202,NORMAL
2026-01-13T18:11:35.421340+00:00,10.232.71.26,10.232.71.48,40,64,2004,80,0,203,NORMAL
2026-01-13T18:11:35.421454+00:00,10.232.71.26,10.232.71.48,40,64,2005,80,0,204,NORMAL
2026-01-13T18:11:35.421515+00:00,10.232.71.26,10.232.71.48,40,64,2006,80,0,205,NORMAL
2026-01-13T18:11:35.421570+00:00,10.232.71.26,10.232.71.48,40,64,2007,80,0,206,NORMAL
2026-01-13T18:11:35.421623+00:00,10.232.71.26,10.232.71.48,40,64,2008,80,0,207,NORMAL
2026-01-13T18:11:35.421675+00:00,10.232.71.26,10.232.71.48,40,64,2009,80,0,208,NORMAL
2026-01-13T18:11:35.421727+00:00,10.232.71.26,10.232.71.48,40,64,2010,80,0,209,NORMAL
2026-01-13T18:11:35.421778+00:00,10.232.71.26,10.232.71.48,40,64,2011,80,0,210,NORMAL
2026-01-13T18:11:35.421836+00:00,10.232.71.26,10.232.71.48,40,64,2012,80,0,211,NORMAL
2026-01-13T18:11:35.421894+00:00,10.232.71.26,10.232.71.48,40,64,2013,80,0,212,NORMAL
2026-01-13T18:11:35.421956+00:00,10.232.71.26,10.232.71.48,40,64,2014,80,0,213,NORMAL
2026-01-13T18:11:35.422038+00:00,10.232.71.26,10.232.71.48,40,64,2015,80,0,214,NORMAL
2026-01-13T18:11:35.422120+00:00,10.232.71.26,10.232.71.48,40,64,2016,80,0,215,NORMAL
2026-01-13T18:11:35.423439+00:00,10.232.71.26,10.232.71.48,40,64,2017,80,0,216,NORMAL
2026-01-13T18:11:35.423715+00:00,10.232.71.26,10.232.71.48,40,64,2018,80,0,217,NORMAL
2026-01-13T18:11:35.423869+00:00,10.232.71.26,10.232.71.48,40,64,2019,80,0,218,NORMAL
2026-01-13T18:11:35.423952+00:00,10.232.71.26,10.232.71.48,40,64,2020,80,0,219,NORMAL
2026-01-13T18:11:35.424015+00:00,10.232.71.26,10.232.71.48,40,64,2021,80,0,220,NORMAL
2026-01-13T18:11:35.424087+00:00,10.232.71.26,10.232.71.48,40,64,2022,80,0,221,NORMAL
2026-01-13T18:11:35.424178+00:00,10.232.71.26,10.232.71.48,40,64,2023,80,0,222,NORMAL
2026-01-13T18:11:35.424238+00:00,10.232.71.26,10.232.71.48,40,64,2024,80,0,223,NORMAL
2026-01-13T18:11:35.424301+00:00,10.232.71.26,10.232.71.48,40,64,2025,80,0,224,NORMAL
