timestamp,src_ip,dst_ip,ip_len,ttl,src_port,dst_port,tcp_seq,unique_port_count,label
2026-01-13T18:34:03.979015+00:00,,,,,443,43336,34043,4,NORMAL
2026-01-13T18:34:03.979071+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.979135+00:00,,,,,443,43336,34111,4,NORMAL
2026-01-13T18:34:03.979193+00:00,,,,,443,43336,34179,4,NORMAL
2026-01-13T18:34:03.979249+00:00,,,,,443,43336,34813,4,NORMAL
2026-01-13T18:34:03.979305+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.979361+00:00,,,,,443,43336,36510,4,NORMAL
2026-01-13T18:34:03.979417+00:00,,,,,443,43336,36541,4,NORMAL
2026-01-13T18:34:03.979473+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.979529+00:00,,,,,443,43336,36609,4,NORMAL
2026-01-13T18:34:03.979586+00:00,,,,,443,43336,36677,4,NORMAL
2026-01-13T18:34:03.979642+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.979698+00:00,,,,,443,43336,36745,4,NORMAL
2026-01-13T18:34:03.979756+00:00,,,,,443,43336,36813,4,NORMAL
2026-01-13T18:34:03.979813+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.979873+00:00,,,,,443,43336,36881,4,NORMAL
2026-01-13T18:34:03.979930+00:00,,,,,443,43336,36949,4,NORMAL
2026-01-13T18:34:03.979986+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.980042+00:00,,,,,443,43336,37017,4,NORMAL
2026-01-13T18:34:03.980104+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.980163+00:00,,,,,443,43336,37085,4,NORMAL
2026-01-13T18:34:03.980219+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.980276+00:00,,,,,443,43336,37161,4,NORMAL
2026-01-13T18:34:03.980331+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.980387+00:00,,,,,443,43336,37229,4,NORMAL
2026-01-13T18:34:03.980443+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.980499+00:00,,,,,443,43336,37305,4,NORMAL
2026-01-13T18:34:03.980555+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.980614+00:00,,,,,443,43336,37381,4,NORMAL
2026-01-13T18:34:03.980670+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.980727+00:00,,,,,443,43336,37449,4,NORMAL
2026-01-13T18:34:03.980783+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.980839+00:00,,,,,443,43336,37517,4,NORMAL
2026-01-13T18:34:03.980904+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.980958+00:00,,,,,443,43336,37585,4,NORMAL
2026-01-13T18:34:03.981011+00:00,,,,,43336,443,51474,4,NORMAL
2026-01-13T18:34:03.981064+00:00,,,,,443,43336,37653,4,NORMAL
2026-01-13T18:34:03.981124+00:00,,,,,43336,443,51474,4,NORMAL
